,Salesman,Sale Date,Zone,Sale Amount,Supervisor,Salesman Mobile
48,Ramesh Hingorani,2008-12-13,East,3473,S Mahadevan,9912261384
49,Ramesh Hingorani,2009-01-14,West,16887,S Mahadevan,9912261384
50,Ramesh Hingorani,2009-02-24,North,12631,S Mahadevan,9912261384
51,Ramesh Hingorani,2009-03-08,South,41928,S Mahadevan,9912261384
52,Ramesh Hingorani,2009-05-02,West,3553,S Mahadevan,9912261384
53,Ramesh Hingorani,2009-05-20,West,22360,S Mahadevan,9912261384
54,Ramesh Hingorani,2009-05-28,South,46897,S Mahadevan,9912261384
55,Ganesh Hegde,2008-03-18,West,124094,Rahul Saxena,9958755676
56,Ganesh Hegde,2008-06-06,South,122203,Rahul Saxena,9958755676
57,Ganesh Hegde,2008-07-05,West,44710,Rahul Saxena,9958755676
58,Ganesh Hegde,2008-09-06,South,88358,Rahul Saxena,9958755676
59,Ganesh Hegde,2008-10-28,South,62275,Rahul Saxena,9958755676
60,Ganesh Hegde,2008-11-29,South,71224,Rahul Saxena,9958755676
61,Ganesh Hegde,2009-01-03,East,28719,Rahul Saxena,9958755676
62,Ganesh Hegde,2009-03-28,South,24138,Rahul Saxena,9958755676
63,Ganesh Hegde,2009-04-23,South,60603,Rahul Saxena,9958755676
64,Abdul Shaikh,2008-03-23,North,41407,Deba Roy,9988499312
65,Abdul Shaikh,2008-03-26,South,40533,Deba Roy,9988499312
66,Abdul Shaikh,2008-08-26,South,96041,Deba Roy,9988499312
67,Abdul Shaikh,2009-05-16,North,42662,Deba Roy,9988499312
68,Abdul Shaikh,2009-05-20,South,12998,Deba Roy,9988499312
69,Govind Patil,2008-03-31,East,42076,S Mahadevan,9962309670
70,Govind Patil,2008-04-25,South,24655,S Mahadevan,9962309670
71,Govind Patil,2008-04-30,East,37132,S Mahadevan,9962309670
72,Govind Patil,2008-09-23,North,39187,S Mahadevan,9962309670
73,Govind Patil,2008-11-30,South,54962,S Mahadevan,9962309670
74,Govind Patil,2008-12-29,West,28588,S Mahadevan,9962309670
75,Govind Patil,2009-01-09,West,5171,S Mahadevan,9962309670
76,Govind Patil,2009-02-01,South,110228,S Mahadevan,9962309670
77,Govind Patil,2009-02-03,West,27359,S Mahadevan,9962309670
78,Govind Patil,2009-02-18,East,105537,S Mahadevan,9962309670
79,John Fernandes,2008-04-13,West,38302,Deba Roy,9996273764
80,John Fernandes,2008-07-19,South,59752,Deba Roy,9996273764
81,John Fernandes,2008-10-11,East,94330,Deba Roy,9996273764
82,John Fernandes,2008-11-06,North,111863,Deba Roy,9996273764
83,John Fernandes,2008-12-17,North,91727,Deba Roy,9996273764
84,John Fernandes,2009-03-06,East,77330,Deba Roy,9996273764
85,John Fernandes,2009-05-11,North,87542,Deba Roy,9996273764
86,Renuka Hiremath,2008-04-25,West,28129,Rahul Saxena,9944021554
87,Renuka Hiremath,2008-05-11,East,25208,Rahul Saxena,9944021554
88,Renuka Hiremath,2008-06-08,South,122500,Rahul Saxena,9944021554
89,Renuka Hiremath,2008-08-10,East,122607,Rahul Saxena,9944021554
90,Renuka Hiremath,2009-02-09,South,67834,Rahul Saxena,9944021554
91,Renuka Hiremath,2009-02-15,North,5442,Rahul Saxena,9944021554
92,Renuka Hiremath,2009-05-04,West,89234,Rahul Saxena,9944021554
93,Renuka Hiremath,2009-06-05,West,3783,Rahul Saxena,9944021554
